"Category","Skill","Directory","Source","Description"
"AI、模型与内容生成","ai-ml-api-automation","ai-ml-api-automation","用户安装","Automate AI ML API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","aivoov-automation","aivoov-automation","用户安装","Automate Aivoov tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","all-images-ai-automation","all-images-ai-automation","用户安装","Automate All Images AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","alttext-ai-automation","alttext-ai-automation","用户安装","Automate Alttext AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","anthropic_administrator-automation","anthropic_administrator-automation","用户安装","Automate Anthropic Admin tasks via Rube MCP (Composio): API keys, usage, workspaces, and organization management. Always search tools first for current schemas."
"AI、模型与内容生成","anthropic-administrator-automation","anthropic-administrator-automation","用户安装","Automate Anthropic Admin tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","astica-ai-automation","astica-ai-automation","用户安装","Automate Astica AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","bolna-automation","bolna-automation","用户安装","Automate Bolna tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","botpress-automation","botpress-automation","用户安装","Automate Botpress tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","botsonic-automation","botsonic-automation","用户安装","Automate Botsonic tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","brand-guidelines","brand-guidelines","用户安装","Applies OpenAI's brand colors and typography to any artifact that should match the Codex/OpenAI look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply."
"AI、模型与内容生成","chatbotkit-automation","chatbotkit-automation","用户安装","Automate Chatbotkit tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","chatfai-automation","chatfai-automation","用户安装","Automate Chatfai tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","claid-ai-automation","claid-ai-automation","用户安装","Automate Claid AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","codeinterpreter-automation","codeinterpreter-automation","用户安装","Automate Codeinterpreter tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","customgpt-automation","customgpt-automation","用户安装","Automate Customgpt tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","deepgram-automation","deepgram-automation","用户安装","Automate Deepgram tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","docsbot-ai-automation","docsbot-ai-automation","用户安装","Automate Docsbot AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","dreamstudio-automation","dreamstudio-automation","用户安装","Automate Dreamstudio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","ElevenLabs Automation","elevenlabs-automation","用户安装","Automate ElevenLabs text-to-speech workflows -- generate speech from text, browse and inspect voices, check subscription limits, list models, stream audio, and retrieve history via the Composio MCP integration."
"AI、模型与内容生成","flowiseai-automation","flowiseai-automation","用户安装","Automate Flowiseai tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","gan-ai-automation","gan-ai-automation","用户安装","Automate Gan AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","gemini-automation","gemini-automation","用户安装","Automate Gemini tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","griptape-automation","griptape-automation","用户安装","Automate Griptape tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","GroqCloud Automation","groqcloud-automation","用户安装","Automate AI inference, chat completions, audio translation, and TTS voice management through GroqCloud's high-performance API via Composio"
"AI、模型与内容生成","HeyGen Automation","heygen-automation","用户安装","Automate AI video generation, avatar browsing, template-based video creation, and video status tracking through HeyGen's platform via Composio"
"AI、模型与内容生成","honeyhive-automation","honeyhive-automation","用户安装","Automate Honeyhive tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","humanloop-automation","humanloop-automation","用户安装","Automate Humanloop tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","hystruct-automation","hystruct-automation","用户安装","Automate Hystruct tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","image-enhancer","image-enhancer","用户安装","Improves the quality of images, especially screenshots, by enhancing resolution, sharpness, and clarity. Perfect for preparing images for presentations, documentation, or social media posts."
"AI、模型与内容生成","jigsawstack-automation","jigsawstack-automation","用户安装","Automate Jigsawstack tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","kaleido-automation","kaleido-automation","用户安装","Automate Kaleido tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","langbase-automation","langbase-automation","用户安装","Automate Langbase tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","langsmith-fetch","langsmith-fetch","用户安装","Debug LangChain and LangGraph agents by fetching execution traces from LangSmith Studio. Use when debugging agent behavior, investigating errors, analyzing tool calls, checking memory operations, or examining agent performance. Automatically fetches recent traces and analyzes execution patterns. Requires langsmith-fetch CLI installed."
"AI、模型与内容生成","lmnt-automation","lmnt-automation","用户安装","Automate Lmnt tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","metaphor-automation","metaphor-automation","用户安装","Automate Metaphor tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","Mistral AI Automation","mistral-ai-automation","用户安装","Automate Mistral AI operations -- manage files and libraries, upload documents for fine-tuning, batch processing, and OCR, track fine-tuning jobs, and build RAG pipelines via the Composio MCP integration."
"AI、模型与内容生成","mistral_ai-automation","mistral_ai-automation","用户安装","Automate Mistral AI tasks via Rube MCP (Composio): completions, embeddings, fine-tuning, and model management. Always search tools first for current schemas."
"AI、模型与内容生成","modelry-automation","modelry-automation","用户安装","Automate Modelry tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","nano-nets-automation","nano-nets-automation","用户安装","Automate Nano Nets tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","needle-automation","needle-automation","用户安装","Automate Needle tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","neuronwriter-automation","neuronwriter-automation","用户安装","Automate Neuronwriter tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","ocrspace-automation","ocrspace-automation","用户安装","Automate Ocrspace tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","ocr-web-service-automation","ocr-web-service-automation","用户安装","Automate OCR Web Service tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","OpenAI Automation","openai-automation","用户安装","Automate OpenAI API operations -- generate responses with multimodal and structured output support, create embeddings, generate images, and list models via the Composio MCP integration."
"AI、模型与内容生成","openperplex-automation","openperplex-automation","用户安装","Automate Openperplex tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","openrouter-automation","openrouter-automation","用户安装","Automate Openrouter tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","perplexityai-automation","perplexityai-automation","用户安装","Automate Perplexityai tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","Replicate Automation","replicate-automation","用户安装","Automate Replicate AI model operations -- run predictions, upload files, inspect model schemas, list versions, and manage prediction history via the Composio MCP integration."
"AI、模型与内容生成","retellai-automation","retellai-automation","用户安装","Automate Retellai tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","sendbird-ai-chabot-automation","sendbird-ai-chabot-automation","用户安装","Automate Sendbird AI Chabot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","sitespeakai-automation","sitespeakai-automation","用户安装","Automate Sitespeakai tasks via Rube MCP (Composio). Always search tools first for current schemas."
